Subj	Posit	List	Item	PrimeCond	PrimeCorrect	TargetAttach
10	47	1	21	2	1	2
10	51	1	12	2	1	2
10	55	1	18	2	0	1
10	59	1	20	3	1	2
10	63	1	19	1	1	1
10	67	1	24	2	1	3
10	71	1	23	3	1	2
10	75	1	13	1	1	2
10	79	1	2	3	1	2
10	83	1	4	1	1	2
10	87	1	10	1	1	2
10	91	1	5	3	1	1
10	95	1	6	2	1	2
10	99	1	14	3	1	1
11	7	2	22	2	1	2
11	11	2	11	1	1	2
11	15	2	3	3	1	3
11	19	2	1	2	0	2
11	23	2	16	2	1	3
11	27	2	8	1	1	1
11	31	2	17	1	1	1
11	35	2	7	2	1	2
11	39	2	15	3	1	2
11	43	2	9	3	1	1
11	47	2	21	3	1	3
11	51	2	12	3	1	3
11	55	2	18	3	1	2
11	59	2	20	1	1	2
11	63	2	19	2	1	2
11	67	2	24	3	1	1
11	71	2	23	1	1	3
11	75	2	13	2	0	2
11	79	2	2	1	1	2
11	83	2	4	2	1	2
11	87	2	10	2	1	2
11	91	2	5	1	1	1
11	95	2	6	3	1	3
11	99	2	14	1	1	2
12	7	3	22	3	1	3
12	11	3	11	2	1	2
12	15	3	3	1	1	2
12	19	3	1	3	1	2
12	23	3	16	3	1	2
12	27	3	8	2	1	1
12	31	3	17	2	1	2
12	35	3	7	3	1	2
12	39	3	15	1	1	2
12	43	3	9	1	1	2
12	47	3	21	1	1	3
12	51	3	12	1	1	1
12	55	3	18	1	1	1
12	59	3	20	2	1	2
12	63	3	19	3	1	3
12	67	3	24	1	1	2
12	71	3	23	2	0	2
12	75	3	13	3	1	1
12	79	3	2	2	1	2
12	83	3	4	3	1	1
12	87	3	10	3	1	1
12	91	3	5	2	1	1
12	95	3	6	1	1	3
12	99	3	14	2	1	2
13	7	1	22	1	1	3
13	11	1	11	3	1	2
13	15	1	3	2	1	1
13	19	1	1	1	1	2
13	23	1	16	1	1	3
13	27	1	8	3	1	1
13	31	1	17	3	1	1
13	35	1	7	1	1	2
13	39	1	15	2	1	1
13	43	1	9	2	0	2
13	47	1	21	2	0	3
13	51	1	12	2	1	2
13	55	1	18	2	1	3
13	59	1	20	3	1	1
13	63	1	19	1	1	2
13	67	1	24	2	1	2
13	71	1	23	3	1	1
13	75	1	13	1	1	2
13	79	1	2	3	1	2
13	83	1	4	1	1	1
13	87	1	10	1	1	1
13	91	1	5	3	1	1
13	95	1	6	2	1	3
13	99	1	14	3	1	3
14	7	2	22	2	1	2
14	11	2	11	1	1	3
14	15	2	3	3	1	2
14	19	2	1	2	1	2
14	23	2	16	2	1	3
14	27	2	8	1	1	3
14	31	2	17	1	1	3
14	35	2	7	2	1	2
14	39	2	15	3	1	3
14	43	2	9	3	1	2
14	47	2	21	3	1	3
14	51	2	12	3	1	2
14	55	2	18	3	1	1
14	59	2	20	1	1	1
14	63	2	19	2	1	2
14	67	2	24	3	1	2
14	71	2	23	1	1	1
14	75	2	13	2	0	2
14	79	2	2	1	1	1
14	83	2	4	2	1	2
14	87	2	10	2	1	2
14	91	2	5	1	1	1
14	95	2	6	3	1	3
14	99	2	14	1	1	1
15	7	3	22	3	1	2
15	11	3	11	2	1	1
15	15	3	3	1	1	2
15	19	3	1	3	1	2
15	23	3	16	3	1	1
15	27	3	8	2	1	2
15	31	3	17	2	1	3
15	35	3	7	3	1	1
15	39	3	15	1	1	2
15	43	3	9	1	1	2
15	47	3	21	1	1	2
15	51	3	12	1	1	2
15	55	3	18	1	1	1
15	59	3	20	2	0	1
15	63	3	19	3	1	3
15	67	3	24	1	1	2
15	71	3	23	2	1	2
15	75	3	13	3	1	3
15	79	3	2	2	1	2
15	83	3	4	3	1	1
15	87	3	10	3	1	1
15	91	3	5	2	1	1
15	95	3	6	1	1	1
15	99	3	14	2	1	3
16	7	1	22	1	1	1
16	11	1	11	3	1	2
16	15	1	3	2	1	3
16	19	1	1	1	1	1
16	23	1	16	1	1	3
16	27	1	8	3	1	1
16	31	1	17	3	1	3
16	35	1	7	1	1	2
16	39	1	15	2	1	2
16	43	1	9	2	1	2
16	47	1	21	2	1	2
16	51	1	12	2	1	2
16	55	1	18	2	1	1
16	59	1	20	3	1	2
16	63	1	19	1	1	2
16	67	1	24	2	1	2
16	71	1	23	3	1	2
16	75	1	13	1	1	2
16	79	1	2	3	1	2
16	83	1	4	1	1	2
16	87	1	10	1	1	1
16	91	1	5	3	1	1
16	95	1	6	2	1	3
16	99	1	14	3	1	1
17	7	2	22	2	1	2
17	11	2	11	1	1	1
17	15	2	3	3	1	3
17	19	2	1	2	1	2
17	23	2	16	2	1	2
17	27	2	8	1	1	2
17	31	2	17	1	1	2
17	35	2	7	2	1	2
17	39	2	15	3	1	2
17	43	2	9	3	1	2
17	47	2	21	3	1	3
17	51	2	12	3	1	2
17	55	2	18	3	1	3
17	59	2	20	1	1	3
17	63	2	19	2	1	2
17	67	2	24	3	1	2
17	71	2	23	1	1	1
17	75	2	13	2	0	2
17	79	2	2	1	1	2
17	83	2	4	2	1	2
17	87	2	10	2	1	2
17	91	2	5	1	1	1
17	95	2	6	3	1	3
17	99	2	14	1	1	2
18	7	3	22	3	1	2
18	11	3	11	2	1	3
18	15	3	3	1	1	1
18	19	3	1	3	1	1
18	23	3	16	3	1	1
18	27	3	8	2	1	2
18	31	3	17	2	1	2
18	35	3	7	3	1	2
18	39	3	15	1	1	3
18	43	3	9	1	1	2
18	47	3	21	1	1	2
18	51	3	12	1	1	2
18	55	3	18	1	1	1
18	59	3	20	2	1	2
18	63	3	19	3	1	2
18	67	3	24	1	1	2
18	71	3	23	2	1	3
18	75	3	13	3	1	3
18	79	3	2	2	1	2
18	83	3	4	3	1	2
18	87	3	10	3	1	2
18	91	3	5	2	1	2
18	95	3	6	1	1	2
18	99	3	14	2	1	3
19	7	1	22	1	1	3
19	11	1	16	1	1	2
19	15	1	9	2	1	2
19	19	1	4	1	0	2
19	23	1	13	1	1	3
19	27	1	10	1	1	1
19	31	1	6	2	1	3
19	35	1	20	3	1	2
19	39	1	5	3	1	1
19	43	1	8	3	1	2
19	47	1	1	1	1	2
19	51	1	21	2	1	3
19	55	1	15	2	1	2
19	59	1	17	3	1	3
19	63	1	14	3	1	1
19	67	1	7	1	1	1
19	71	1	23	3	1	3
19	75	1	11	3	1	2
19	79	1	24	2	1	1
19	83	1	2	3	1	2
19	87	1	18	2	1	3
19	91	1	12	2	1	2
19	95	1	19	1	1	3
19	99	1	3	2	1	1
20	7	2	22	2	0	2
20	11	2	16	2	1	3
20	15	2	9	3	1	2
20	19	2	4	2	0	2
20	23	2	13	2	0	2
20	27	2	10	2	0	2
20	31	2	6	3	1	2
20	35	2	20	1	1	2
20	39	2	5	1	0	1
20	43	2	8	1	1	1
20	47	2	1	2	1	2
20	51	2	21	3	1	1
20	55	2	15	3	1	3
20	59	2	17	1	1	1
20	63	2	14	1	1	1
20	67	2	7	2	1	2
20	71	2	23	1	1	3
20	75	2	11	1	1	3
20	79	2	24	3	1	2
20	83	2	2	1	0	2
20	87	2	18	3	1	2
20	91	2	12	3	1	1
20	95	2	19	2	1	1
20	99	2	3	3	1	2
21	7	3	22	3	1	2
21	11	3	16	3	1	3
21	15	3	9	1	1	1
21	19	3	4	3	1	2
21	23	3	13	3	1	2
21	27	3	10	3	1	1
21	31	3	6	1	1	1
21	35	3	20	2	1	1
21	39	3	5	2	1	2
21	43	3	8	2	1	1
21	47	3	1	3	1	2
21	51	3	21	1	1	1
21	55	3	15	1	1	1
