"","curnum","ni","it","bf.new.null","boost.bigger"
"bf",200,48,1,90.4597035066334,1
"bf",200,48,2,68.3760691812484,1
"bf",200,48,3,102823.57958408,0.999375
"bf",200,48,4,21.1650864437506,0.999979166666667
