"","curnum","ni","it","bf.new.null","boost.bigger"
"bf",200,48,1,20.2950208428338,1
"bf",200,48,2,7041.36666295832,0.999979166666667
"bf",200,48,3,188.362244610392,0.999520833333333
"bf",200,48,4,0.0377770948111588,1
"bf",200,48,5,0.101673744957372,1
"bf",200,48,6,289.10513447815,0.999979166666667
"bf",200,48,7,327.913559471699,1
"bf",200,48,8,14.0712467368653,0.998916666666667
"bf",200,48,9,0.400888125931531,1
"bf",300,48,9,0.624605335814516,1
