"","curnum","ni","it","bf.new.null","boost.bigger"
"bf",200,48,1,171.81944845482,1
"bf",200,48,2,1576.49666420777,1
"bf",200,48,3,5726.94961960457,0.991979166666667
"bf",200,48,4,27.5519311400839,0.999958333333333
