Subj	Group	Posit	Item	PrimeCond	PrimeCorrect	TargetAttach	
9	B	79	24	1	1	2	
9	B	83	2	2	0	3	
9	B	87	18	1	0	1	
9	B	91	12	1	0	1	
9	B	95	19	3	1	2	
9	B	99	3	1	0	2	
10	B	7	15	2	0	1	
10	B	11	17	3	1	2	
10	B	15	19	1	1	1	
10	B	19	1	1	1	2	
10	B	23	20	3	1	2	
10	B	27	16	1	1	3	
10	B	31	9	2	0	2	
10	B	35	6	2	1	2	
10	B	39	4	1	1	2	
10	B	43	21	2	0	2	
10	B	47	23	3	1	1	
10	B	51	11	3	1	2	
10	B	55	22	1	1	2	
10	B	59	5	3	1	2	
10	B	63	14	3	1	1	
10	B	67	12	2	1	2	
10	B	71	2	3	1	2	
10	B	75	8	3	0	2	
10	B	79	10	1	1	1	
10	B	83	7	1	0	2	
10	B	87	24	2	1	2	
10	B	91	13	1	0	2	
10	B	95	3	2	0	2	
10	B	99	18	2	1	2	
11	B	7	15	3	1	3	
11	B	11	17	1	1	3	
11	B	15	19	2	0	1	
11	B	19	1	2	1	3	
11	B	23	20	1	1	1	
11	B	27	16	2	1	2	
11	B	31	9	3	1	2	
11	B	35	6	3	1	3	
11	B	39	4	2	1	2	
11	B	43	21	3	1	2	
11	B	47	23	1	1	2	
11	B	51	11	1	1	1	
11	B	55	22	2	1	2	
11	B	59	5	1	1	1	
11	B	63	14	1	1	2	
11	B	67	12	3	0	2	
11	B	71	2	1	1	1	
11	B	75	8	1	1	1	
11	B	79	10	2	1	2	
11	B	83	7	2	1	2	
11	B	87	24	3	1	2	
11	B	91	13	2	1	3	
11	B	95	3	3	1	2	
11	B	99	18	3	1	2	
12	B	7	15	1	0	1	
12	B	11	17	2	0	1	
12	B	15	19	3	1	2	
12	B	19	1	3	1	2	
12	B	23	20	2	0	2	
12	B	27	16	3	1	3	
12	B	31	9	1	0	2	
12	B	35	6	1	0	2	
12	B	39	4	3	1	1	
12	B	43	21	1	0	1	
12	B	47	23	2	0	1	
12	B	51	11	2	0	3	
12	B	55	22	3	1	1	
12	B	59	5	2	0	1	
12	B	63	14	2	0	1	
12	B	67	12	1	0	1	
12	B	71	2	2	0	1	
12	B	75	8	2	1	1	
12	B	79	10	3	1	1	
12	B	83	7	3	1	2	
12	B	87	24	1	0	1	
12	B	91	13	3	1	3	
12	B	95	3	1	1	1	
12	B	99	18	1	0	1	
13	B	7	15	2	1	1	
13	B	11	17	3	1	1	
13	B	15	19	1	1	1	
13	B	19	1	1	1	1	
13	B	23	20	3	1	1	
13	B	27	16	1	1	3	
13	B	31	9	2	1	2	
13	B	35	6	2	0	1	
13	B	39	4	1	1	1	
13	B	43	21	2	1	1	
13	B	47	23	3	1	1	
13	B	51	11	3	1	2	
13	B	55	22	1	0	2	
13	B	59	5	3	1	1	
13	B	63	14	3	1	1	
13	B	67	12	2	1	2	
13	B	71	2	3	1	2	
13	B	75	8	3	1	1	
13	B	79	10	1	1	1	
13	B	83	7	1	1	1	
13	B	87	24	2	1	3	
13	B	91	13	1	1	1	
13	B	95	3	2	1	2	
13	B	99	18	2	1	1	
14	B	7	15	3	1	1	
14	B	11	17	1	0	1	
14	B	15	19	2	1	2	
14	B	19	1	2	1	1	
14	B	23	20	1	0	1	
14	B	27	16	2	1	1	
14	B	31	9	3	0	2	
14	B	35	6	3	1	2	
14	B	39	4	2	1	1	
14	B	43	21	3	1	1	
14	B	47	23	1	0	1	
14	B	51	11	1	0	1	
14	B	55	22	2	1	1	
14	B	59	5	1	0	1	
14	B	63	14	1	1	1	
14	B	67	12	3	1	2	
14	B	71	2	1	0	2	
14	B	75	8	1	1	1	
14	B	79	10	2	1	1	
14	B	83	7	2	1	2	
14	B	87	24	3	1	1	
14	B	91	13	2	1	2	
14	B	95	3	3	1	1	
14	B	99	18	3	0	1	
15	B	7	15	1	1	1	
15	B	11	17	2	1	2	
15	B	15	19	3	1	2	
15	B	19	1	3	1	2	
15	B	23	20	2	1	2	
15	B	27	16	3	1	2	
15	B	31	9	1	1	2	
15	B	35	6	1	1	3	
15	B	39	4	3	1	2	
15	B	43	21	1	1	3	
15	B	47	23	2	1	2	
15	B	51	11	2	1	2	
15	B	55	22	3	1	2	
15	B	59	5	2	1	2	
15	B	63	14	2	1	1	
15	B	67	12	1	1	2	
15	B	71	2	2	1	2	
15	B	75	8	2	1	2	
15	B	79	10	3	1	2	
15	B	83	7	3	1	2	
15	B	87	24	1	1	2	
15	B	91	13	3	1	1	
15	B	95	3	1	1	1	
15	B	99	18	1	1	2	
16	B	7	14	3	1	3	
16	B	11	20	3	1	2	
16	B	15	17	3	1	3	
16	B	19	24	2	0	1	
16	B	23	4	1	0	1	
16	B	27	19	1	0	2	
16	B	31	7	1	0	2	
16	B	35	3	2	0	2	
16	B	39	1	1	0	2	
16	B	43	15	2	1	2	
16	B	47	2	3	1	2	
16	B	51	10	1	0	2	
16	B	55	18	2	0	2	
16	B	59	21	2	0	1	
16	B	63	23	3	1	2	
16	B	67	11	3	1	2	
16	B	71	22	1	0	2	
16	B	75	12	2	0	2	
16	B	79	8	3	1	1	
16	B	83	9	2	0	2	
16	B	87	13	1	0	2	
16	B	91	16	1	1	1	
16	B	95	6	2	0	2	
16	B	99	5	3	1	1	
17	B	7	14	1	1	1	
17	B	11	20	1	0	1	
17	B	15	17	1	1	2	
17	B	19	24	3	1	1	
17	B	23	4	2	1	2	
17	B	27	19	2	0	2	
17	B	31	7	2	0	1	
17	B	35	3	3	1	2	
17	B	39	1	2	1	2	
17	B	43	15	3	0	2	
17	B	47	2	1	0	2	
17	B	51	10	2	1	2	
17	B	55	18	3	1	1	
17	B	59	21	3	1	2	
17	B	63	23	1	1	1	
17	B	67	11	1	1	2	
17	B	71	22	2	1	2	
17	B	75	12	3	1	2	
17	B	79	8	1	1	3	
17	B	83	9	3	1	2	
17	B	87	13	2	1	1	
17	B	91	16	2	0	2	
17	B	95	6	3	1	2	
17	B	99	5	1	0	1	
18	B	7	14	2	1	1	
18	B	11	20	2	1	2	
18	B	15	17	2	1	1	
18	B	19	24	1	1	3	
18	B	23	4	3	1	2	
18	B	27	19	3	1	2	
18	B	31	7	3	1	2	
18	B	35	3	1	1	2	
18	B	39	1	3	1	2	
18	B	43	15	1	1	1	
18	B	47	2	2	1	2	
18	B	51	10	3	1	1	
18	B	55	18	1	0	1	
18	B	59	21	1	0	3	
18	B	63	23	2	1	3	
18	B	67	11	2	1	2	
18	B	71	22	3	1	1	
18	B	75	12	1	0	1	
18	B	79	8	2	1	1	
18	B	83	9	1	1	1	
18	B	87	13	3	1	2	
18	B	91	16	3	1	3	
18	B	95	6	1	1	1	
18	B	99	5	2	1	1	
19	B	7	6	2	0	2	
19	B	11	21	2	0	1	
19	B	15	13	1	0	2	
19	B	19	18	2	0	1	
19	B	23	15	2	1	2	
19	B	27	5	3	1	1	
19	B	31	10	1	1	2	
19	B	35	12	2	0	2	
19	B	39	11	3	1	2	
19	B	43	7	1	0	2	
19	B	47	22	1	1	2	
19	B	51	17	3	1	3	
19	B	55	9	2	0	2	
19	B	59	2	3	1	2	
19	B	63	3	2	1	2	
19	B	67	14	3	1	2	
19	B	71	19	1	0	2	
19	B	75	20	3	1	2	
19	B	79	1	1	1	3	
19	B	83	24	2	0	2	
19	B	87	8	3	1	1	
19	B	91	16	1	0	2	
19	B	95	23	3	1	2	
19	B	99	4	1	1	2	
20	B	7	6	3	1	3	
20	B	11	21	3	1	1	
20	B	15	13	2	1	3	
20	B	19	18	3	1	1	
20	B	23	15	3	1	2	
20	B	27	5	1	0	1	
20	B	31	10	2	1	1	
20	B	35	12	3	1	1	
20	B	39	11	1	1	2	
20	B	43	7	2	1	1	
20	B	47	22	2	1	2	
20	B	51	17	1	1	1	
20	B	55	9	3	1	2	
20	B	59	2	1	0	2	
20	B	63	3	3	1	1	
20	B	67	14	1	0	1	
20	B	71	19	2	1	1	
20	B	75	20	1	0	2	
20	B	79	1	2	1	1	
20	B	83	24	3	1	1	
20	B	87	8	1	1	1	
20	B	91	16	2	1	1	
20	B	95	23	1	1	1	
20	B	99	4	2	1	2	
21	B	7	6	1	1	1	
21	B	11	21	1	1	1	
21	B	15	13	3	1	2	
21	B	19	18	1	1	1	
21	B	23	15	1	1	1	
21	B	27	5	2	1	1	
21	B	31	10	3	1	2	
21	B	35	12	1	1	2	
21	B	39	11	2	1	2	
21	B	43	7	3	1	2	
21	B	47	22	3	1	2	
21	B	51	17	2	1	2	
21	B	55	9	1	1	3	
21	B	59	2	2	1	2	
21	B	63	3	1	1	1	
21	B	67	14	2	1	1	
21	B	71	19	3	1	1	
21	B	75	20	2	1	1	
21	B	79	1	3	1	1	
21	B	83	24	1	1	2	
21	B	87	8	2	1	2	
21	B	91	16	3	1	1	
21	B	95	23	2	0	1	
21	B	99	4	3	1	2	
22	B	7	7	1	0	3	
22	B	11	22	1	1	2	
22	B	15	9	2	1	2	
22	B	19	17	3	1	2	
22	B	23	15	2	1	2	
22	B	27	10	1	1	1	
22	B	31	8	3	1	1	
22	B	35	5	3	1	1	
22	B	39	3	2	0	1	
22	B	43	23	3	1	2	
22	B	47	4	1	1	3	
22	B	51	14	3	1	1	
22	B	55	21	2	1	1	
22	B	59	20	3	1	2	
22	B	63	11	3	1	3	
22	B	67	6	2	1	2	
22	B	71	18	2	1	2	
