Subj	posit	list	item	prime	target	tres_C	tres_F	presp	tresp	correct	numerr
L2M05	69	4	10	2	1	98	8	5	98	1	0
L2M05	72	4	7	1	2	1	4	5	1	1	0
L2M05	75	4	1	2	2	73	45	3	73	1	0
L2M06	6	4	9	2	2	50	26	2	26	0	0
L2M06	9	4	22	2	1	56	8	3	56	1	0
L2M06	12	4	8	1	1	25	65	5	25	1	0
L2M06	15	4	17	2	2	97	25	2	25	0	0
L2M06	18	4	14	2	1	49	13	2	49	1	0
L2M06	21	4	19	1	2	0	12	5	12	0	0
L2M06	24	4	1	2	2	73	45	2	45	0	0
L2M06	27	4	16	1	1	25	32	5	25	1	0
L2M06	30	4	12	1	1	27	34	5	27	1	0
L2M06	33	4	13	2	2	85	22	2	22	0	0
L2M06	36	4	2	2	1	26	8	2	26	1	0
L2M06	39	4	5	2	2	152	62	4	152	1	0
L2M06	42	4	10	2	1	98	8	4	98	1	0
L2M06	45	4	23	1	2	4	16	5	16	0	0
L2M06	48	4	6	2	1	86	14	4	14	0	0
L2M06	51	4	24	1	1	19	49	5	19	1	0
L2M06	54	4	3	1	2	1	6	5	6	0	0
L2M06	57	4	11	1	2	4	14	4	14	0	0
L2M06	60	4	7	1	2	1	4	5	4	0	0
L2M06	63	4	18	2	1	92	8	4	92	1	0
L2M06	66	4	15	1	2	15	40	5	40	0	0
L2M06	69	4	4	1	1	50	68	5	50	1	0
L2M06	72	4	21	2	2	25	9	2	25	1	0
L2M06	75	4	20	1	1	74	200	5	74	1	0
L2M07	6	4	23	1	2	4	16	2	2	0	1
L2M07	9	4	16	1	1	25	32	5	32	0	0
L2M07	12	4	13	2	2	85	22	3	85	1	0
L2M07	15	4	7	1	2	1	4	5	1	1	0
L2M07	18	4	20	1	1	74	200	4	200	0	0
L2M07	21	4	24	1	1	19	49	4	19	1	0
L2M07	24	4	18	2	1	92	8	2	8	0	0
L2M07	27	4	21	2	2	25	9	2	25	1	0
L2M07	30	4	22	2	1	56	8	2	56	1	0
L2M07	33	4	14	2	1	49	13	5	14	0	1
L2M07	36	4	5	2	2	152	62	5	152	1	0
L2M07	39	4	12	1	1	27	34	5	34	0	0
L2M07	42	4	9	2	2	50	26	1	50	1	0
L2M07	45	4	19	1	2	0	12	5	1	0	1
L2M07	48	4	3	1	2	1	6	5	1	1	0
L2M07	51	4	4	1	1	50	68	5	50	1	0
L2M07	54	4	10	2	1	98	8	5	0	0	1
L2M07	57	4	11	1	2	4	14	5	4	1	0
L2M07	60	4	15	1	2	15	40	5	15	1	0
L2M07	63	4	2	2	1	26	8	1	6	0	1
L2M07	66	4	8	1	1	25	65	5	64	0	1
L2M07	69	4	1	2	2	73	45	1	73	1	0
L2M07	72	4	17	2	2	97	25	5	97	1	0
L2M07	75	4	6	2	1	86	14	5	86	1	0
L2M08	6	2	9	1	2	50	26	3	40	0	1
L2M08	9	2	22	1	1	56	8	5	8	0	0
L2M08	12	2	8	2	1	25	65	5	65	0	0
L2M08	15	2	17	1	2	97	25	5	97	1	0
L2M08	18	2	14	1	1	49	13	5	13	0	0
L2M08	21	2	19	2	2	0	12	5	0	1	0
L2M08	24	2	1	1	2	73	45	4	73	1	0
L2M08	27	2	16	2	1	25	32	1	32	0	0
L2M08	30	2	12	2	1	27	34	4	34	0	0
L2M08	33	2	13	1	2	85	22	5	85	1	0
L2M08	36	2	2	1	1	26	8	4	26	1	0
L2M08	39	2	5	1	2	152	62	4	152	1	0
L2M08	42	2	10	1	1	98	8	4	98	1	0
L2M08	45	2	23	2	2	4	16	5	4	1	0
L2M08	48	2	6	1	1	86	14	4	86	1	0
L2M08	51	2	24	2	1	19	49	3	49	0	0
L2M08	54	2	3	2	2	1	6	3	1	1	0
L2M08	57	2	11	2	2	4	14	5	5	0	1
L2M08	60	2	7	2	2	1	4	3	1	1	0
L2M08	63	2	18	1	1	92	8	4	8	0	0
L2M08	66	2	15	2	2	15	40	5	15	1	0
L2M08	69	2	4	2	1	50	68	5	64	0	1
L2M08	72	2	21	1	2	25	9	5	25	1	0
L2M08	75	2	20	2	1	74	200	5	200	0	0
L2M09	6	3	9	2	1	5	18	3	18	0	0
L2M09	9	3	22	1	2	12	2	4	12	1	0
L2M09	12	3	8	2	2	35	80	5	35	1	0
L2M09	15	3	17	2	1	13	63	5	63	0	0
L2M09	18	3	14	1	2	16	6	4	16	1	0
L2M09	21	3	19	1	1	70	10	5	36	0	1
L2M09	24	3	1	2	1	5	20	4	20	0	0
L2M09	27	3	16	2	2	65	77	1	65	1	0
L2M09	30	3	12	2	2	72	84	3	72	1	0
L2M09	33	3	13	2	1	10	54	4	54	0	0
L2M09	36	3	2	1	2	7	2	5	7	1	0
L2M09	39	3	5	2	1	16	78	5	78	0	0
L2M09	42	3	10	1	2	19	2	5	19	1	0
L2M09	45	3	23	1	1	62	14	5	14	0	0
L2M09	48	3	6	1	2	13	4	5	13	1	0
L2M09	51	3	24	2	2	17	45	5	17	1	0
L2M09	54	3	3	1	1	33	9	5	9	0	0
L2M09	57	3	11	1	1	40	12	5	12	0	0
L2M09	60	3	7	1	1	20	8	5	8	0	0
L2M09	63	3	18	1	2	18	2	5	18	1	0
L2M09	66	3	15	1	1	198	38	5	38	0	0
L2M09	69	3	4	2	2	70	90	5	70	1	0
L2M09	72	3	21	2	1	3	12	3	12	0	0
L2M09	75	3	20	2	2	94	224	4	94	1	0
L2M10	6	3	9	2	1	5	18	2	5	1	0
L2M10	9	3	22	1	2	12	2	4	0	0	1
L2M10	12	3	8	2	2	35	80	5	35	1	0
L2M10	15	3	17	2	1	13	63	5	13	1	0
L2M10	18	3	14	1	2	16	6	3	16	1	0
L2M10	21	3	19	1	1	70	10	5	70	1	0
L2M10	24	3	1	2	1	5	20	4	5	1	0
L2M10	27	3	16	2	2	65	77	1	65	1	0
L2M10	30	3	12	2	2	72	84	5	72	1	0
L2M10	33	3	13	2	1	10	54	4	10	1	0
L2M10	36	3	2	1	2	7	2	4	7	1	0
L2M10	39	3	5	2	1	16	78	4	16	1	0
L2M10	42	3	10	1	2	19	2	2	49	0	1
L2M10	45	3	23	1	1	62	14	5	62	1	0
L2M10	48	3	6	1	2	13	4	5	15	0	1
L2M10	51	3	24	2	2	17	45	5	17	1	0
L2M10	54	3	3	1	1	33	9	5	33	1	0
L2M10	57	3	11	1	1	40	12	5	12	0	0
L2M10	60	3	7	1	1	20	8	5	6	0	1
L2M10	63	3	18	1	2	18	2	5	45	0	1
L2M10	66	3	15	1	1	198	38	5	198	1	0
L2M10	69	3	4	2	2	70	90	3	70	1	0
L2M10	72	3	21	2	1	3	12	4	3	1	0
L2M10	75	3	20	2	2	94	224	4	94	1	0
L2M11	6	3	9	2	1	5	18	3	18	0	0
