Subj	posit	list	item	prime	pres_C	pres_F	target	presp	tresp
M2L06	57	3	11	1	40	12	1	40	4
M2L06	60	3	7	1	20	8	1	20	5
M2L06	63	3	18	2	18	2	1	18	2
M2L06	66	3	15	1	198	38	1	198	5
M2L06	69	3	4	2	70	90	2	70	2
M2L06	72	3	21	1	3	12	2	3	5
M2L06	75	3	20	2	94	224	2	94	4
M2L07	6	4	9	2	50	26	2	50	2
M2L07	9	4	22	1	56	8	2	56	4
M2L07	12	4	8	1	25	65	1	25	4
M2L07	15	4	17	2	97	25	2	97	5
M2L07	18	4	14	1	49	13	2	49	4
M2L07	21	4	19	2	0	12	1	0	5
M2L07	24	4	1	2	73	45	2	13	3
M2L07	27	4	16	1	25	32	1	25	5
M2L07	30	4	12	1	27	34	1	27	5
M2L07	33	4	13	2	85	22	2	85	4
M2L07	36	4	2	1	26	8	2	26	4
M2L07	39	4	5	2	152	62	2	152	5
M2L07	42	4	10	1	98	8	2	98	5
M2L07	45	4	23	2	4	16	1	4	5
M2L07	48	4	6	1	86	14	2	86	5
M2L07	51	4	24	1	19	49	1	19	4
M2L07	54	4	3	2	1	6	1	1	4
M2L07	57	4	11	2	4	14	1	4	3
M2L07	60	4	7	2	1	4	1	1	5
M2L07	63	4	18	1	92	8	2	92	2
M2L07	66	4	15	2	15	40	1	15	5
M2L07	69	4	4	1	50	68	1	50	4
M2L07	72	4	21	2	25	9	2	25	5
M2L07	75	4	20	1	74	200	1	74	5
M2L08	6	1	17	1	13	63	1	13	5
M2L08	9	1	15	1	198	38	2	198	5
M2L08	12	1	5	1	16	78	1	16	3
M2L08	15	1	2	2	7	2	2	7	4
M2L08	18	1	11	1	40	12	2	40	4
M2L08	21	1	22	2	12	2	2	12	4
M2L08	24	1	12	2	72	84	1	72	5
M2L08	27	1	19	1	70	10	2	70	5
M2L08	30	1	4	2	70	90	1	70	3
M2L08	33	1	24	2	17	45	1	17	5
M2L08	36	1	23	1	62	14	2	62	4
M2L08	39	1	3	1	33	9	2	33	4
M2L08	42	1	13	1	10	54	1	10	5
M2L08	45	1	18	2	18	2	2	18	2
M2L08	48	1	6	2	13	4	2	13	5
M2L08	51	1	20	2	94	224	1	94	4
M2L08	54	1	9	1	5	18	1	5	4
M2L08	57	1	8	2	35	80	1	35	5
M2L08	60	1	21	1	3	12	1	3	3
M2L08	63	1	14	2	16	6	2	16	4
M2L08	66	1	16	2	65	77	1	65	4
M2L08	69	1	10	2	19	2	2	19	2
M2L08	72	1	7	1	20	8	2	20	2
