Subj	posit	list	item	prime	pres_C	pres_F	target	presp	tresp
M2L26	9	3	15	1	198	38	1	198	5
M2L26	12	3	5	1	16	78	2	16	3
M2L26	15	3	2	2	7	2	1	7	5
M2L26	18	3	11	1	40	12	1	40	3
M2L26	21	3	22	2	12	2	1	12	5
M2L26	24	3	12	2	72	84	2	72	2
M2L26	27	3	19	1	70	10	1	70	5
M2L26	30	3	4	2	70	90	2	70	2
M2L26	33	3	24	2	17	45	2	17	3
M2L26	36	3	23	1	62	14	1	62	4
M2L26	39	3	3	1	33	9	1	33	5
M2L26	42	3	13	1	10	54	2	10	1
M2L26	45	3	18	2	18	2	1	45	4
M2L26	48	3	6	2	13	4	1	18	2
M2L26	51	3	20	2	94	224	2	94	3
M2L26	54	3	9	1	5	18	2	5	1
M2L26	57	3	8	2	35	80	2	35	5
M2L26	60	3	21	1	3	12	2	3	2
M2L26	63	3	14	2	16	6	1	16	5
M2L26	66	3	16	2	65	77	2	65	2
M2L26	69	3	10	2	19	2	1	19	4
M2L26	72	3	7	1	20	8	1	20	5
M2L26	75	3	1	1	5	20	2	5	2
M2L27	6	3	23	1	62	14	1	62	5
M2L27	9	3	16	2	65	77	2	65	2
M2L27	12	3	13	1	10	54	2	10	3
M2L27	15	3	7	1	20	8	1	20	5
M2L27	18	3	20	2	94	224	2	94	3
M2L27	21	3	24	2	17	45	2	17	3
M2L27	24	3	18	2	18	2	1	18	3
M2L27	27	3	21	1	3	12	2	3	2
M2L27	30	3	22	2	12	2	1	12	5
M2L27	33	3	14	2	16	6	1	16	5
M2L27	36	3	5	1	16	78	2	16	5
M2L27	39	3	12	2	72	84	2	72	3
M2L27	42	3	9	1	5	18	2	5	2
M2L27	45	3	19	1	70	10	1	70	5
M2L27	48	3	3	1	33	9	1	33	5
M2L27	51	3	4	2	70	90	2	70	3
M2L27	54	3	10	2	19	2	1	19	5
M2L27	57	3	11	1	40	12	1	40	4
M2L27	60	3	15	1	198	38	1	198	5
M2L27	63	3	2	2	7	2	1	7	5
M2L27	66	3	8	2	35	80	2	35	5
M2L27	69	3	1	1	5	20	2	5	2
M2L27	72	3	17	1	13	63	2	13	3
M2L27	75	3	6	2	13	4	1	13	5
M2L28	6	2	23	2	4	16	2	4	5
M2L28	9	2	16	1	25	32	2	25	1
M2L28	12	2	13	2	85	22	1	85	5
M2L28	15	2	7	2	1	4	2	1	3
M2L28	18	2	20	1	74	200	2	74	2
M2L28	21	2	24	1	19	49	2	19	5
M2L28	24	2	18	1	92	8	1	92	4
M2L28	27	2	21	2	25	9	1	25	5
M2L28	30	2	22	1	56	8	1	56	5
M2L28	33	2	14	1	49	13	1	49	5
M2L28	36	2	5	2	152	62	1	152	4
M2L28	39	2	12	1	27	34	2	27	2
M2L28	42	2	9	2	50	26	1	50	5
M2L28	45	2	19	2	0	12	2	1	5
M2L28	48	2	3	2	1	6	2	1	4
M2L28	51	2	4	1	50	68	2	50	3
M2L28	54	2	10	1	98	8	1	98	5
M2L28	57	2	11	2	4	14	2	4	5
M2L28	60	2	15	2	15	40	2	15	5
M2L28	63	2	2	1	26	8	1	26	4
M2L28	66	2	8	1	25	65	2	25	5
M2L28	69	2	1	2	73	45	1	73	5
M2L28	72	2	17	2	97	25	1	97	5
M2L28	75	2	6	1	86	14	1	86	5
M2L29	6	1	9	1	5	18	1	5	4
M2L29	9	1	22	2	12	2	2	12	2
M2L29	12	1	8	2	35	80	1	35	5
M2L29	15	1	17	1	13	63	1	13	5
M2L29	18	1	14	2	16	6	2	16	5
M2L29	21	1	19	1	70	10	2	70	5
M2L29	24	1	1	1	5	20	1	5	4
M2L29	27	1	16	2	65	77	1	65	3
M2L29	30	1	12	2	72	84	1	72	4
M2L29	33	1	13	1	10	54	1	10	3
M2L29	36	1	2	2	7	2	2	7	4
M2L29	39	1	5	1	16	78	1	16	3
M2L29	42	1	10	2	19	2	2	19	4
M2L29	45	1	23	1	62	14	2	62	4
M2L29	48	1	6	2	13	4	2	13	3
M2L29	51	1	24	2	17	45	1	17	4
M2L29	54	1	3	1	33	9	2	33	1
M2L29	57	1	11	1	40	12	2	40	2
M2L29	60	1	7	1	20	8	2	20	2
M2L29	63	1	18	2	18	2	2	18	3
M2L29	66	1	15	1	198	38	2	198	5
M2L29	69	1	4	2	70	90	1	70	4
M2L29	72	1	21	1	3	12	1	3	3
M2L29	75	1	20	2	94	224	1	84	4
M2L30	6	2	9	2	50	26	1	50	4
M2L30	9	2	22	1	56	8	1	56	4
M2L30	12	2	8	1	25	65	2	25	4
M2L30	15	2	17	2	97	25	1	97	4
M2L30	18	2	14	1	49	13	1	49	5
M2L30	21	2	19	2	0	12	2	0	5
M2L30	24	2	1	2	73	45	1	73	5
M2L30	27	2	16	1	25	32	2	25	2
M2L30	30	2	12	1	27	34	2	27	3
M2L30	33	2	13	2	85	22	1	85	4
M2L30	36	2	2	1	26	8	1	26	3
M2L30	39	2	5	2	152	62	1	152	3
M2L30	42	2	10	1	98	8	1	98	4
M2L30	45	2	23	2	4	16	2	4	5
M2L30	48	2	6	1	86	14	1	86	5
M2L30	51	2	24	1	19	49	2	19	3
M2L30	54	2	3	2	1	6	2	1	5
M2L30	57	2	11	2	4	14	2	4	4
M2L30	60	2	7	2	1	4	2	1	3
M2L30	63	2	18	1	92	8	1	92	3
M2L30	66	2	15	2	15	40	2	15	4
M2L30	69	2	4	1	50	68	2	50	2
M2L30	72	2	21	2	25	9	1	29	4
M2L30	75	2	20	1	74	200	2	74	4
M2L31	6	3	9	1	5	18	2	5	4
M2L31	9	3	22	2	12	2	1	12	5
M2L31	12	3	8	2	35	80	2	35	5
M2L31	15	3	17	1	13	63	2	13	4
M2L31	18	3	14	2	16	6	1	16	1
M2L31	21	3	19	1	70	10	1	70	5
M2L31	24	3	1	1	5	20	2	5	2
M2L31	27	3	16	2	65	77	2	65	2
M2L31	30	3	12	2	72	84	2	72	2
M2L31	33	3	13	1	10	54	2	10	1
M2L31	36	3	2	2	7	2	1	7	5
M2L31	39	3	5	1	16	78	2	16	3
M2L31	42	3	10	2	19	2	1	19	1
M2L31	45	3	23	1	62	14	1	62	3
M2L31	48	3	6	2	13	4	1	13	5
M2L31	51	3	24	2	17	45	2	17	5
M2L31	54	3	3	1	33	9	1	33	5
M2L31	57	3	11	1	40	12	1	40	5
M2L31	60	3	7	1	20	8	1	20	5
M2L31	63	3	18	2	18	2	1	18	4
M2L31	66	3	15	1	198	38	1	198	5
M2L31	69	3	4	2	70	90	2	70	3
M2L31	72	3	21	1	3	12	2	3	5
M2L31	75	3	20	2	94	224	2	94	3
M2L32	6	4	9	2	50	26	2	50	2
M2L32	9	4	22	1	56	8	2	56	1
M2L32	12	4	8	1	25	65	1	25	5
M2L32	15	4	17	2	97	25	2	97	5
M2L32	18	4	14	1	49	13	2	49	4
M2L32	21	4	19	2	0	12	1	0	5
M2L32	24	4	1	2	73	45	2	73	1
M2L32	27	4	16	1	25	32	1	25	5
M2L32	30	4	12	1	27	34	1	27	5
M2L32	33	4	13	2	85	22	2	85	2
M2L32	36	4	2	1	26	8	2	26	3
M2L32	39	4	5	2	152	62	2	152	5
M2L32	42	4	10	1	98	8	2	98	5
M2L32	45	4	23	2	4	16	1	-1	5
M2L32	48	4	6	1	86	14	2	86	4
M2L32	51	4	24	1	19	49	1	19	5
M2L32	54	4	3	2	1	6	1	1	5
M2L32	57	4	11	2	4	14	1	4	4
M2L32	60	4	7	2	1	4	1	1	4
M2L32	63	4	18	1	92	8	2	92	1
M2L32	66	4	15	2	15	40	1	15	5
M2L32	69	4	4	1	50	68	1	50	5
M2L32	72	4	21	2	25	9	2	25	4
M2L32	75	4	20	1	74	200	1	74	5
M2L33	6	1	17	1	13	63	1	13	5
M2L33	9	1	15	1	198	38	2	100	5
M2L33	12	1	5	1	16	78	1	16	4
M2L33	15	1	2	2	7	2	2	7	3
M2L33	18	1	11	1	40	12	2	40	4
M2L33	21	1	22	2	12	2	2	12	3
M2L33	24	1	12	2	72	84	1	72	5
M2L33	27	1	19	1	70	10	2	70	5
M2L33	30	1	4	2	70	90	1	70	4
M2L33	33	1	24	2	17	45	1	17	4
M2L33	36	1	23	1	62	14	2	62	3
M2L33	39	1	3	1	33	9	2	33	3
M2L33	42	1	13	1	10	54	1	10	5
M2L33	45	1	18	2	18	2	2	18	3
M2L33	48	1	6	2	13	4	2	13	5
M2L33	51	1	20	2	94	224	1	94	4
M2L33	54	1	9	1	5	18	1	5	5
M2L33	57	1	8	2	35	80	1	35	4
M2L33	60	1	21	1	3	12	1	3	4
M2L33	63	1	14	2	16	6	2	16	4
M2L33	66	1	16	2	65	77	1	65	5
M2L33	69	1	10	2	19	2	2	19	5
M2L33	72	1	7	1	20	8	2	20	4
M2L33	75	1	1	1	5	20	1	5	5
M2L34	6	2	17	2	97	25	1	97	4
M2L34	9	2	15	2	15	40	2	15	5
M2L34	12	2	5	2	152	62	1	152	5
M2L34	15	2	2	1	26	8	1	26	5
M2L34	18	2	11	2	4	14	2	4	5
M2L34	21	2	22	1	56	8	1	56	5
M2L34	24	2	12	1	27	34	2	27	2
M2L34	27	2	19	2	0	12	2	0	5
M2L34	30	2	4	1	50	68	2	50	2
M2L34	33	2	24	1	19	49	2	19	4
M2L34	36	2	23	2	4	16	2	4	5
M2L34	39	2	3	2	1	6	2	1	3
M2L34	42	2	13	2	85	22	1	85	2
M2L34	45	2	18	1	92	8	1	92	4
M2L34	48	2	6	1	86	14	1	86	5
M2L34	51	2	20	1	74	200	2	74	1
M2L34	54	2	9	2	50	26	1	50	5
M2L34	57	2	8	1	25	65	2	25	5
M2L34	60	2	21	2	25	9	1	25	3
M2L34	63	2	14	1	49	13	1	49	3
M2L34	66	2	16	1	25	32	2	25	1
M2L34	69	2	10	1	98	8	1	98	5
M2L34	72	2	7	2	1	4	2	1	3
M2L34	75	2	1	2	73	45	1	73	4
M2L35	6	3	17	1	13	63	2	13	5
M2L35	9	3	15	1	198	38	1	198	5
M2L35	12	3	5	1	16	78	2	16	5
M2L35	15	3	2	2	7	2	1	7	5
M2L35	18	3	11	1	40	12	1	40	5
M2L35	21	3	22	2	12	2	1	12	5
M2L35	24	3	12	2	72	84	2	72	4
M2L35	27	3	19	1	70	10	1	70	5
M2L35	30	3	4	2	70	90	2	70	4
M2L35	33	3	24	2	17	45	2	17	5
M2L35	36	3	23	1	62	14	1	62	5
M2L35	39	3	3	1	33	9	1	33	5
M2L35	42	3	13	1	10	54	2	10	2
M2L35	45	3	18	2	18	2	1	18	4
M2L35	48	3	6	2	13	4	1	13	4
M2L35	51	3	20	2	94	224	2	94	3
M2L35	54	3	9	1	5	18	2	5	2
M2L35	57	3	8	2	35	80	2	35	5
M2L35	60	3	21	1	3	12	2	3	3
M2L35	63	3	14	2	16	6	1	8	5
M2L35	66	3	16	2	65	77	2	65	3
M2L35	69	3	10	2	19	2	1	19	3
M2L35	72	3	7	1	20	8	1	20	5
M2L35	75	3	1	1	5	20	2	5	2
M2L36	6	4	17	2	97	25	2	97	5
M2L36	9	4	15	2	15	40	1	15	4
M2L36	12	4	5	2	152	62	2	152	5
M2L36	15	4	2	1	26	8	2	26	3
M2L36	18	4	11	2	4	14	1	4	4
M2L36	21	4	22	1	56	8	2	56	5
M2L36	24	4	12	1	27	34	1	27	5
M2L36	27	4	19	2	0	12	1	0	5
M2L36	30	4	4	1	50	68	1	50	3
M2L36	33	4	24	1	19	49	1	19	5
M2L36	36	4	23	2	4	16	1	4	5
M2L36	39	4	3	2	1	6	1	1	5
M2L36	42	4	13	2	85	22	2	45	1
M2L36	45	4	18	1	92	8	2	92	1
M2L36	48	4	6	1	86	14	2	86	5
M2L36	51	4	20	1	74	200	1	74	5
M2L36	54	4	9	2	50	26	2	50	5
M2L36	57	4	8	1	25	65	1	25	5
M2L36	60	4	21	2	25	9	2	25	3
M2L36	63	4	14	1	49	13	2	49	5
M2L36	66	4	16	1	25	32	1	25	5
M2L36	69	4	10	1	98	8	2	98	2
M2L36	72	4	7	2	1	4	1	1	5
M2L36	75	4	1	2	73	45	2	73	2
