Subject_ID	item	trial_numb	cond	prime_resp	Vcond	Ptype	target_resp	Ttype	T_onset	P_onset	P_offset	trialT		
176	20	27	02	DO	1	2	ZZ	3	2601	3780	42052	48433		
176	21	63	03	PO	2	1	PO	1	14767	3442	13212	31421		
176	22	87	04	DO	2	2	DO	2	2608	4165	33723	40496		
176	23	75	01	PO	1	1	PO	1	6316	2103	5695	14114		
176	24	23	02	DO	1	2	ZZ	3	16008	4473	27206	47687		
176	25	35	03	PO	2	1	DO	2	8398	3335	20708	32441		
176	26	67	04	DO	2	2	PO	1	1449	2053	16771	20273		
176	27	19	01	PO	1	1	PO	1	2101	4548	8164	14813		
176	28	3	02	DO	1	2	DO	2	6338	3328	7074	16740		
176	29	123	03	PO	2	1	PO	1	1580	5548	40200	47328		
176	30	51	04	DO	2	2	PO	1	36976	5040	15614	57630		
176	31	79	01	PO	1	1	PO	1	4493	3320	6490	14303		
176	32	111	02	ZZ	1	3	PO	1	2840	6515	12671	22026		
177	1	39	04	DO	2	2	ZZ	3	2684	2163	3095	7942		
177	2	95	01	PO	1	1	ZZ	3	2994	5118	9875	17987		
177	3	7	02	DO	1	2	DO	2	2453	3394	15372	21219		
177	4	15	03	DO	2	2	PO	1	15603	5217	7741	28561		
177	5	55	04	ZZ	2	3	ZZ	3	3665	2594	6329	12588		
177	6	103	01	PO	1	1	DO	2	6369	20579	24054	51002		
177	7	59	02	DO	1	2	ZZ	3	4477	4407	13740	22624		
177	8	99	03	PO	2	1	PO	1	5448	2113	8512	16073		
177	9	75	04	DO	2	2	ZZ	3	1582	3415	14291	19288		
177	10	67	01	PO	1	1	PO	1	2634	3275	6509	12418		
177	11	31	02	PO	1	1	DO	2	12518	4467	14491	31476		
177	12	119	03	PO	2	1	PO	1	8732	2473	15362	26567		
177	13	91	04	ZZ	2	3	ZZ	3	2934	3655	7000	13589		
177	14	47	01	PO	1	1	DO	2	1191	4807	15503	21501		
177	15	71	02	ZZ	1	3	PO	1	2534	10595	18176	31305		
177	16	19	03	PO	2	1	DO	2	9073	8442	11657	29172		
177	17	51	04	DO	2	2	DO	2	3054	4957	7070	15081		
